code,affinity,Kd/Ki,afftype
3f6e,2.38,Kd=4.14mM,Kd
1f73,2.39,Ki=4.1mM,Ki
1nwl,2.39,Ki=4.1mM,Ki
4u5s,2.41,Kd=3.9mM,Kd
4u5o,2.42,Kd=3.8mM,Kd
1oba,2.44,Kd=3.6mM,Kd
2i2b,2.44,Ki=3.6mM,Ki
3l7c,2.44,Ki=3.67mM,Ki
3mjl,2.44,Ki=3.6mM,Ki
3l79,2.46,Ki=3.46mM,Ki
4ddm,2.46,Kd=3.5mM,Kd
4x8u,2.46,Ki=3.5mM,Ki
1tok,2.47,Kd=3.4mM,Kd
1utl,2.47,Kd=3.41mM,Kd
1gyx,2.48,Ki=3.3mM,Ki
4u5n,2.48,Kd=3.3mM,Kd
4efk,2.49,Kd=3.2mM,Kd
4kz7,2.49,Ki=3.2mM,Ki
1ai4,2.5,Ki=3.13mM,Ki
3g30,2.51,Ki=3.1mM,Ki
3bf1,2.52,Kd=3mM,Kd
3mfv,2.52,Ki=3000uM,Ki
3vdb,2.52,Ki=3.03mM,Ki
4g0q,2.52,Kd=3.00mM,Kd
4urz,2.52,Kd=3.0mM,Kd
4hj2,2.53,Kd=2.95mM,Kd
3b3s,2.55,Ki=2800uM,Ki
3ovn,2.55,Kd=2.8mM,Kd
1gwv,2.57,Kd=2.68mM,Kd
3gvb,2.59,Ki=2.6mM,Ki
4o3c,2.59,Ki=2.57mM,Ki
2r5a,2.6,Kd=2.5mM,Kd
4up5,2.6,Kd=2.5mM,Kd
3f37,2.62,Kd=2.4mM,Kd
3fk1,2.62,Ki=2420uM,Ki
1ajn,2.63,Ki=2.32mM,Ki
4i8x,2.64,Kd=2.3mM,Kd
4q7w,2.64,Ki=2300uM,Ki
4q8y,2.64,Ki=2300uM,Ki
4ufl,2.64,Ki=2.3mM,Ki
3a1e,2.66,Kd=2.2mM,Kd
3lvw,2.67,Ki=2.12mM,Ki
4b3c,2.68,Kd=2.1mM,Kd
4b3d,2.68,Kd=2.1mM,Kd
3elc,2.69,Kd=2.02mM,Kd
2fzc,2.7,Ki=1990uM,Ki
2uyn,2.7,Kd=2mM,Kd
3bra,2.7,Kd=2000uM,Kd
1pfu,2.72,Kd=1900uM,Kd
2rkd,2.72,Ki=1.9mM,Ki
2qwb,2.74,Ki=1820uM,Ki
2vyt,2.74,Kd=1.84mM,Kd
4m6u,2.74,Ki=1.8mM,Ki
4ndu,2.74,Kd=1.8mM,Kd
1rql,2.75,Ki=1.79mM,Ki
4bt5,2.76,Ki=1.72mM,Ki
2bet,2.77,Ki=1.7mM,Ki
4kz3,2.77,Ki=1.7mM,Ki
4ykk,2.77,Ki=1.7mM,Ki
2bza,2.8,Ki=1.58mM,Ki
3djx,2.81,Ki=1557.9uM,Ki
4rrg,2.81,Kd=1538.5uM,Kd
3ppr,2.82,Kd=1.5mM,Kd
4dsu,2.82,Kd=1.5mM,Kd
4k7i,2.82,Kd=1500uM,Kd
3moh,2.84,Ki=1460uM,Ki
3qx8,2.86,Kd=1.37mM,Kd
3zt3,2.86,Kd=1375uM,Kd
4ouj,2.86,Kd=1.39mM,Kd
1cet,2.89,Ki=1.3mM,Ki
1iih,2.89,Ki=1.3mM,Ki
1ugp,2.89,Ki=1.3mM,Ki
4b35,2.89,Kd=1.3mM,Kd
4gqq,2.89,Ki=1.3mM,Ki
4kzb,2.89,Ki=1.3mM,Ki
3c2u,2.9,Ki=1.25mM,Ki
1h2k,2.92,Ki=1.2mM,Ki
2fw6,2.92,Kd=1.2mM,Kd
3alt,2.92,Kd=1.19mM,Kd
3k8c,2.92,Ki=1.2mM,Ki
4ai5,2.92,Kd=1.2mM,Kd
4ef6,2.92,Kd=1.2mM,Kd
4lm3,2.92,Ki=1200uM,Ki
4y2q,2.92,Kd=1200uM,Kd
5ct2,2.92,Kd=1.2mM,Kd
1tng,2.93,Ki=1.17mM,Ki
2vmc,2.94,Kd=1.15mM,Kd
1f4e,2.96,Ki=1.1mM,Ki
2w8j,2.96,Kd=1.1mM,Kd
3dhv,2.96,Kd=1.1mM,Kd
3g34,2.96,Ki=1.1mM,Ki
3imc,2.96,Kd=1100uM,Kd
4dst,2.96,Kd=1.1mM,Kd
4mrg,2.96,Kd=1.1mM,Kd
2hw2,2.97,Ki=1.07mM,Ki
4ceb,2.97,Kd=1080uM,Kd
3ckb,2.98,Kd=1.04mM,Kd
3djq,2.98,Ki=1046.4uM,Ki
4ibc,2.98,Kd=1049uM,Kd
4bps,2.99,Ki=1.02mM,Ki
1ecq,3.0,Ki=1.0mM,Ki
1ws4,3.0,Kd=1.00mM,Kd
2q8h,3.0,Kd=1mM,Kd
2rka,3.0,Ki=1mM,Ki
2v3u,3.0,Kd=1mM,Kd
3ime,3.0,Kd=1000uM,Kd
4b2i,3.0,Kd=1.0mM,Kd
4k0o,3.0,Kd=1mM,Kd
4l51,3.0,Kd=995uM,Kd
4llk,3.0,Ki=990uM,Ki
4r3w,3.0,Ki=1.0mM,Ki
4u0w,3.0,Kd=1mM,Kd
1utm,3.01,Kd=0.972mM,Kd
4g0p,3.01,Kd=0.98mM,Kd
2vmd,3.02,Kd=0.95mM,Kd
4q81,3.02,Ki=950uM,Ki
1ogd,3.03,Kd=0.93mM,Kd
2ha3,3.03,Kd=930uM,Kd
3adv,3.03,Kd=933uM,Kd
4lm2,3.03,Ki=940uM,Ki
4qp2,3.03,Kd=940uM,Kd
5aoi,3.03,Kd=940uM,Kd
1rtf,3.04,Ki=910uM,Ki
3t08,3.04,Ki=0.91mM,Ki
3t1m,3.04,Kd=0.91mM,Kd
4i7k,3.04,Kd=905uM,Kd
4lm4,3.04,Ki=910uM,Ki
1f74,3.05,Ki=0.9mM,Ki
1uj5,3.05,Ki=0.89mM,Ki
1uj6,3.05,Ki=0.89mM,Ki
4g5f,3.05,Kd=0.9mM,Kd
2jfh,3.06,Ki=870uM,Ki
1rnm,3.07,Ki=844.2uM,Ki
3mof,3.07,Ki=860uM,Ki
1y1z,3.08,Ki=0.831mM,Ki
1ec9,3.1,Ki=0.8mM,Ki
3buf,3.1,Kd=800uM,Kd
3f78,3.1,Kd=800uM,Kd
4cjr,3.1,Kd=793uM,Kd
3c2r,3.11,Kd=0.78mM,Kd
4bt3,3.12,Ki=0.76mM,Ki
4cgi,3.12,Kd=752uM,Kd
1ax0,3.13,Kd=0.746mM,Kd
5c5t,3.13,Kd=746uM,Kd
2ya7,3.14,Ki=0.72mM,Ki
4b34,3.14,Kd=0.73mM,Kd
1e6q,3.15,Ki=0.7mM,Ki
4de5,3.15,Kd=0.7mM,Kd
4fzj,3.15,Kd=0.7mM,Kd
4lw1,3.15,Kd=710uM,Kd
3f34,3.16,Kd=0.69mM,Kd
1lbk,3.18,Kd=668uM,Kd
1ro7,3.18,Ki=657uM,Ki
3bug,3.18,Kd=660uM,Kd
3dxh,3.19,Ki=0.65mM,Ki
3g1v,3.19,Ki=645uM,Ki
4gzx,3.19,Kd=645uM,Kd
1s5z,3.21,Kd=0.62mM,Kd
1br6,3.22,Ki=0.6mM,Ki
1e6s,3.22,Ki=0.6mM,Ki
1ew9,3.22,Ki=0.6mM,Ki
1k1y,3.22,Ki=0.6mM,Ki
1tog,3.22,Kd=0.6mM,Kd
1zc9,3.22,Kd=0.6mM,Kd
2ri9,3.22,Ki=0.6mM,Ki
2uy3,3.22,Ki=600uM,Ki
4n5d,3.22,Kd=607uM,Kd
1px4,3.23,Ki=0.59mM,Ki
3zsy,3.23,Kd=595uM,Kd
4lm1,3.23,Ki=590uM,Ki
4unp,3.23,Kd=590uM,Kd
3qfz,3.24,Ki=570uM,Ki
4b2l,3.24,Kd=0.57mM,Kd
4qlk,3.24,Ki=0.57mM,Ki
1v2j,3.25,Ki=566uM,Ki
3ta1,3.25,Kd=568uM,Kd
4lm0,3.25,Ki=560uM,Ki
3t1l,3.26,Kd=0.55mM,Kd
5yas,3.26,Ki=0.55mM,Ki
3ioe,3.27,Kd=540uM,Kd
3d52,3.28,Ki=520uM,Ki
3tfu,3.28,Ki=520uM,Ki
4fl1,3.28,Kd=520uM,Kd
1d7j,3.3,Kd=500uM,Kd
1phw,3.3,Ki=0.5mM,Ki
1tpw,3.3,Ki=0.5mM,Ki
2vw2,3.3,Ki=0.5mM,Ki
3aaq,3.3,Ki=0.5mM,Ki
3hcm,3.3,Kd=0.5mM,Kd
4jss,3.3,Ki=500uM,Ki
4msa,3.3,Ki=500uM,Ki
4np3,3.3,Kd=0.5mM,Kd
1i2s,3.31,Ki=490uM,Ki
1pzp,3.31,Ki=490uM,Ki
1pzo,3.32,Ki=480uM,Ki
2wk6,3.32,Ki=0.48mM,Ki
4cjp,3.32,Kd=481uM,Kd
4i7j,3.32,Kd=480uM,Kd
188l,3.33,Kd=470uM,Kd
1jlr,3.33,Kd=465uM,Kd
2pnc,3.33,Ki=466uM,Ki
4ab9,3.33,Kd=466uM,Kd
4b0b,3.33,Kd=0.47mM,Kd
4b5t,3.33,Kd=0.47mM,Kd
4b5w,3.33,Kd=0.47mM,Kd
3f33,3.34,Kd=0.46mM,Kd
4b32,3.34,Kd=0.46mM,Kd
4bt4,3.34,Ki=0.46mM,Ki
4cp5,3.34,Kd=452uM,Kd
3c2o,3.35,Kd=0.45mM,Kd
3pwk,3.35,Ki=0.45mM,Ki
4lkq,3.35,Ki=450uM,Ki
2vc7,3.36,Ki=432.7uM,Ki
4cj4,3.36,Kd=432uM,Kd
187l,3.37,Kd=422uM,Kd
1tnh,3.37,Ki=0.43mM,Ki
1v2u,3.37,Ki=427uM,Ki
3d8z,3.37,Ki=423uM,Ki
3n35,3.37,Kd=431uM,Kd
4b33,3.37,Kd=0.43mM,Kd
2fzg,3.38,Ki=420uM,Ki
3tay,3.38,Kd=0.42mM,Kd
3w07,3.38,Kd=0.42mM,Kd
4qll,3.38,Ki=0.42mM,Ki
1toj,3.39,Kd=0.41mM,Kd
4ipn,3.39,Kd=408.7uM,Kd
4lhm,3.39,Ki=0.41mM,Ki
1bxr,3.4,Ki=0.4mM,Ki
1f8d,3.4,Ki=400uM,Ki
1ikt,3.4,Kd=400uM,Kd
1l83,3.4,Kd=0.40mM,Kd
1m83,3.4,Kd=0.4mM,Kd
1uz4,3.4,Ki=400uM,Ki
2vvp,3.4,Ki=0.4mM,Ki
3d8y,3.4,Ki=396uM,Ki
3jzh,3.4,Kd=400uM,Kd
4abe,3.4,Kd=400uM,Kd
2v2c,3.41,Ki=0.39mM,Ki
2qtn,3.42,Kd=382uM,Kd
2sim,3.42,Ki=0.38mM,Ki
2w08,3.42,Kd=380uM,Kd
3iob,3.42,Kd=380uM,Kd
4llj,3.42,Ki=380uM,Ki
4n8q,3.42,Ki=380uM,Ki
2xog,3.43,Ki=0.37mM,Ki
3axz,3.43,Kd=372uM,Kd
4umc,3.44,Ki=360uM,Ki
3nik,3.45,Kd=358.8uM,Kd
1moq,3.46,Ki=0.35mM,Ki
3muz,3.46,Ki=0.35mM,Ki
4k5p,3.46,Ki=345uM,Ki
4tz2,3.46,Kd=350uM,Kd
3ta0,3.47,Kd=338uM,Kd
4epy,3.47,Kd=340uM,Kd
4h42,3.47,Ki=341uM,Ki
2p3i,3.48,Kd=0.33mM,Kd
3g1d,3.48,Ki=330uM,Ki
3gx0,3.48,Kd=330uM,Kd
3nyd,3.48,Ki=330uM,Ki
4k7n,3.48,Kd=330uM,Kd
1c5o,3.49,Ki=320uM,Ki
1utn,3.49,Kd=0.321mM,Kd
4avs,3.49,Kd=322uM,Kd
4b5s,3.49,Kd=0.32mM,Kd
4i7p,3.5,Kd=317uM,Kd
2r0h,3.51,Kd=310uM,Kd
5cp9,3.51,Kd=0.31mM,Kd
1jys,3.52,Ki=300uM,Ki
2j27,3.52,Ki=0.3mM,Ki
2vw1,3.52,Ki=0.3mM,Ki
3lcu,3.52,Kd=300uM,Kd
3mfw,3.52,Ki=300uM,Ki
185l,3.54,Kd=290uM,Kd
3obq,3.54,Kd=290uM,Kd
1v2r,3.55,Ki=278.96uM,Ki
2cle,3.55,Kd=280uM,Kd
2qwc,3.55,Ki=280uM,Ki
4aji,3.55,Kd=280uM,Kd
5btx,3.55,Kd=280uM,Kd
1h46,3.57,Ki=270uM,Ki
1np0,3.57,Ki=270uM,Ki
3ff3,3.57,Ki=270uM,Ki
4ck3,3.57,Kd=268uM,Kd
4ibb,3.57,Kd=270.7uM,Kd
4q8x,3.57,Ki=270uM,Ki
1nli,3.59,Kd=260uM,Kd
2gsu,3.59,Ki=260uM,Ki
4cjq,3.59,Kd=256uM,Kd
4q7v,3.59,Ki=260uM,Ki
1d7i,3.6,Kd=250uM,Kd
2fzk,3.6,Ki=250uM,Ki
2qpu,3.6,Kd=0.25mM,Kd
2xdk,3.6,Kd=250uM,Kd
3afk,3.6,Kd=251.89uM,Kd
3b3x,3.6,Ki=250uM,Ki
3g0i,3.6,Ki=250uM,Ki
3jdw,3.6,Ki=253uM,Ki
3m3o,3.6,Kd=250.63uM,Kd
4b3b,3.6,Kd=250uM,Kd
4c1y,3.6,Kd=251uM,Kd
3jzj,3.61,Kd=248uM,Kd
3sk2,3.61,Kd=244uM,Kd
1pb9,3.62,Ki=241uM,Ki
4rrf,3.62,Kd=239.2uM,Kd
5dqe,3.63,Kd=234uM,Kd
1gyy,3.64,Ki=230uM,Ki
2azr,3.64,Ki=230uM,Ki
2rk8,3.64,Ki=230uM,Ki
4iuo,3.64,Kd=0.23mM,Kd
4agl,3.65,Kd=225uM,Kd
2qv7,3.66,Kd=219uM,Kd
3buh,3.66,Kd=220uM,Kd
3oy8,3.66,Kd=220uM,Kd
3pcn,3.66,Kd=220uM,Kd
3t2q,3.66,Ki=0.22mM,Ki
4aia,3.66,Kd=220uM,Kd
4fl2,3.66,Kd=220uM,Kd
4ibd,3.67,Kd=214.6uM,Kd
1c3x,3.68,Ki=210uM,Ki
2x6x,3.68,Kd=210uM,Kd
3ioc,3.68,Kd=210uM,Kd
3isj,3.68,Kd=210uM,Kd
4aje,3.68,Kd=210uM,Kd
4io7,3.68,Kd=211uM,Kd
4isu,3.68,Ki=0.21mM,Ki
2a8g,3.69,Kd=205uM,Kd
3d7b,3.69,Ki=203uM,Ki
4ovg,3.69,Ki=204uM,Ki
4tte,3.69,Kd=202uM,Kd
1gz4,3.7,Ki=0.2mM,Ki
1loq,3.7,Ki=0.2mM,Ki
1pdz,3.7,Ki=0.2mM,Ki
1wht,3.7,Ki=0.2mM,Ki
2bvr,3.7,Ki=200uM,Ki
2fx6,3.7,Ki=200uM,Ki
3l59,3.7,Kd=200uM,Kd
2vfk,3.71,Kd=194uM,Kd
3fj7,3.71,Kd=195uM,Kd
3g32,3.71,Ki=0.194mM,Ki
1ai5,3.72,Ki=0.189mM,Ki
1grp,3.72,Ki=0.189mM,Ki
2am4,3.72,Ki=190uM,Ki
2r23,3.72,Kd=190uM,Kd
3f5l,3.72,Ki=0.191mM,Ki
3q6z,3.72,Kd=192uM,Kd
4tln,3.72,Ki=190uM,Ki
4ufm,3.72,Ki=190uM,Ki
3fjg,3.73,Kd=187uM,Kd
4fz3,3.73,Kd=184.3uM,Kd
1f5k,3.74,Ki=180uM,Ki
2wq5,3.74,Kd=180uM,Kd
2pyi,3.75,Ki=179uM,Ki
3d6p,3.75,Ki=179uM,Ki
2x09,3.76,Ki=175uM,Ki
4tu4,3.76,Kd=175uM,Kd
4w52,3.76,Kd=175uM,Kd
1kui,3.77,Ki=0.169mM,Ki
2v2h,3.77,Ki=0.17mM,Ki
2y9g,3.77,Kd=170uM,Kd
3ao2,3.77,Kd=0.17mM,Kd
4q46,3.77,Kd=169uM,Kd
3nq3,3.78,Kd=167uM,Kd
2clk,3.79,Kd=164uM,Kd
1kug,3.8,Ki=0.160mM,Ki
1li6,3.8,Kd=0.16mM,Kd
1nje,3.8,Kd=160uM,Kd
3t09,3.8,Ki=0.16mM,Ki
4ajl,3.8,Kd=160uM,Kd
2hu6,3.81,Kd=154uM,Kd
3ai8,3.81,Ki=154.4uM,Ki
1hn4,3.82,Kd=0.15mM,Kd
3g2h,3.82,Ki=151.3uM,Ki
4aba,3.82,Kd=153uM,Kd
4bks,3.82,Kd=150uM,Kd
4keq,3.82,Ki=150uM,Ki
4mmm,3.82,Kd=150uM,Kd
1j16,3.84,Ki=143uM,Ki
1utj,3.84,Kd=0.144mM,Kd
3lzz,3.84,Kd=146uM,Kd
2wzs,3.85,Ki=140uM,Ki
2yb0,3.85,Kd=140uM,Kd
3mv0,3.85,Ki=0.14mM,Ki
3wq5,3.85,Ki=140uM,Ki
4kiu,3.85,Ki=140uM,Ki
3lbz,3.86,Kd=138uM,Kd
3spf,3.86,Ki=138uM,Ki
4i9u,3.86,Kd=137uM,Kd
1aj7,3.87,Kd=135uM,Kd
1v16,3.87,Kd=134.8uM,Kd
3g2l,3.87,Ki=135.9uM,Ki
3w5n,3.87,Kd=135uM,Kd
3wjw,3.87,Ki=134uM,Ki
4nbk,3.87,Kd=136uM,Kd
3si4,3.88,Ki=132.2uM,Ki
4mjp,3.88,Ki=131uM,Ki
1m0q,3.89,Ki=0.13mM,Ki
2ctc,3.89,Ki=0.13mM,Ki
3iae,3.89,Ki=0.13mM,Ki
3obx,3.89,Kd=130uM,Kd
3umo,3.89,Ki=129uM,Ki
4aj4,3.89,Kd=130uM,Kd
4nl1,3.89,Kd=130uM,Kd
4ufk,3.89,Ki=130uM,Ki
1avn,3.9,Kd=0.125mM,Kd
2gvv,3.9,Ki=125uM,Ki
2qw1,3.9,Ki=125uM,Ki
2rkm,3.9,Ki=125uM,Ki
2vhj,3.9,Kd=125uM,Kd
2vuk,3.9,Kd=125uM,Kd
2wor,3.9,Kd=125uM,Kd
2wos,3.9,Kd=125uM,Kd
2xpc,3.9,Ki=125uM,Ki
4n9c,3.9,Kd=126uM,Kd
4qgi,3.9,Ki=125uM,Ki
1kuk,3.91,Ki=0.124mM,Ki
1pr5,3.92,Ki=120uM,Ki
3ap4,3.92,Kd=0.12mM,Kd
1h5v,3.93,Ki=117uM,Ki
2a5b,3.93,Kd=117uM,Kd
2cbz,3.93,Kd=118uM,Kd
1v1m,3.94,Kd=115.0uM,Kd
2v3d,3.94,Ki=116uM,Ki
4bi6,3.95,Kd=113.3uM,Kd
1mrs,3.96,Ki=110uM,Ki
2fpz,3.96,Ki=110uM,Ki
2wec,3.96,Ki=110uM,Ki
3c39,3.96,Kd=109uM,Kd
3gt9,3.96,Ki=0.11mM,Ki
4gqr,3.96,Ki=110uM,Ki
4ibg,3.97,Kd=108.0uM,Kd
1v11,3.98,Kd=104.8uM,Kd
3b3c,3.98,Ki=105uM,Ki
4agm,3.98,Kd=105uM,Kd
1rpf,3.99,Ki=103uM,Ki
2g8r,3.99,Ki=103uM,Ki
4i7l,3.99,Kd=103uM,Kd
1e5j,4.0,Ki=100uM,Ki
1lgw,4.0,Kd=100uM,Kd
1nu3,4.0,Ki=100uM,Ki
1tni,4.0,Ki=0.10mM,Ki
1wc1,4.0,Ki=0.1mM,Ki
2buv,4.0,Kd=100uM,Kd
2ot1,4.0,Ki=0.1mM,Ki
2qrl,4.0,Ki=100uM,Ki
2rin,4.0,Kd=100uM,Kd
2whp,4.0,Kd=100uM,Kd
3a1c,4.0,Kd=0.1mM,Kd
3ijh,4.0,Kd=100uM,Kd
3m8t,4.0,Ki=100uM,Ki
3vd9,4.0,Ki=0.10mM,Ki
4p6c,4.0,Ki=100uM,Ki
4umb,4.0,Ki=99uM,Ki
1v2w,4.01,Ki=97.79uM,Ki
3fzn,4.01,Kd=97uM,Kd
2wvz,4.02,Ki=96uM,Ki
3po1,4.02,Kd=95uM,Kd
2q8m,4.03,Ki=94uM,Ki
2qrm,4.03,Ki=92.5uM,Ki
2x96,4.03,Ki=94uM,Ki
3bxh,4.03,Kd=94.34uM,Kd
1hi5,4.04,Ki=92uM,Ki
1li2,4.04,Kd=91uM,Kd
1r4w,4.05,Kd=90uM,Kd
1toi,4.05,Kd=0.090mM,Kd
1tuf,4.05,Ki=89uM,Ki
3fjz,4.05,Ki=90uM,Ki
3n8k,4.05,Kd=90uM,Kd
3qx9,4.05,Kd=0.09mM,Kd
2clh,4.06,Kd=87.6uM,Kd
3m3c,4.06,Kd=86.21uM,Kd
8a3h,4.06,Ki=88uM,Ki
1hyo,4.07,Ki=84.8uM,Ki
2v2v,4.07,Ki=85.8uM,Ki
4xmr,4.07,Kd=86uM,Kd
2rke,4.08,Ki=82.5uM,Ki
2z1w,4.08,Ki=83uM,Ki
1ai7,4.09,Ki=0.082mM,Ki
1o0n,4.09,Ki=82uM,Ki
2v88,4.09,Kd=82.1uM,Kd
4b9z,4.09,Ki=81.4uM,Ki
4fxp,4.09,Kd=80.4uM,Kd
1c5t,4.1,Ki=80uM,Ki
1odj,4.1,Kd=80uM,Kd
2bvs,4.1,Ki=80uM,Ki
3gk1,4.1,Kd=80uM,Kd
3iod,4.1,Kd=80uM,Kd
5cc2,4.1,Kd=80uM,Kd
1p19,4.11,Kd=76.8uM,Kd
2exm,4.11,Ki=78uM,Ki
3d6o,4.11,Ki=77uM,Ki
3oyw,4.11,Kd=78uM,Kd
3v4t,4.11,Kd=77uM,Kd
3a1d,4.12,Kd=75uM,Kd
3ivc,4.12,Kd=75uM,Kd
3mam,4.12,Kd=76uM,Kd
4kxb,4.12,Ki=75uM,Ki
4qfn,4.12,Kd=76uM,Kd
4whs,4.12,Kd=75uM,Kd
4zow,4.12,Kd=75uM,Kd
3qto,4.13,Ki=74.8uM,Ki
4ovf,4.13,Ki=74uM,Ki
4yc0,4.13,Ki=74uM,Ki
4i7m,4.14,Kd=72uM,Kd
4ibi,4.14,Kd=73.0uM,Kd
5dq8,4.14,Kd=73uM,Kd
1m2x,4.15,Ki=70uM,Ki
1q91,4.15,Ki=70uM,Ki
2v2q,4.15,Ki=71.2uM,Ki
2vt3,4.15,Kd=0.07mM,Kd
2xg9,4.15,Ki=70uM,Ki
3a9i,4.15,Ki=70.7uM,Ki
3c8e,4.15,Kd=0.07mM,Kd
3d51,4.15,Ki=70uM,Ki
3sur,4.15,Ki=70uM,Ki
3sus,4.15,Ki=71uM,Ki
4abh,4.15,Kd=71uM,Kd
4cr5,4.15,Ki=70uM,Ki
4ibe,4.15,Kd=70.6uM,Kd
4kz4,4.15,Ki=0.07mM,Ki
3si3,4.16,Ki=69.3uM,Ki
4jkw,4.16,Kd=69.9uM,Kd
1v2s,4.17,Ki=68uM,Ki
3qfd,4.17,Kd=68uM,Kd
4oma,4.17,Ki=68uM,Ki
2qfu,4.18,Ki=66uM,Ki
3q2j,4.18,Ki=66.1uM,Ki
1hi3,4.19,Ki=64uM,Ki
3b3w,4.19,Ki=65uM,Ki
3cft,4.19,Kd=64uM,Kd
3cr5,4.19,Kd=64uM,Kd
3sv2,4.19,Ki=64.0uM,Ki
4n9a,4.19,Ki=64uM,Ki
4nra,4.19,Kd=65uM,Kd
4q83,4.19,Ki=64uM,Ki
1c5y,4.2,Ki=63uM,Ki
1c87,4.2,Ki=63uM,Ki
1ghw,4.2,Ki=63uM,Ki
1n3z,4.2,Ki=63.2uM,Ki
2r2b,4.2,Kd=63uM,Kd
3djp,4.2,Ki=63.2uM,Ki
3qx5,4.2,Ki=63.5uM,Ki
1odi,4.21,Kd=62uM,Kd
1qk4,4.21,Kd=61uM,Kd
4bqs,4.21,Ki=62uM,Ki
4u6w,4.21,Ki=61.3uM,Ki
1kv5,4.22,Ki=60uM,Ki
1pzi,4.22,Kd=60uM,Kd
1t5f,4.22,Ki=60uM,Ki
1ua4,4.22,Ki=0.06mM,Ki
3f80,4.22,Kd=60uM,Kd
3kyq,4.22,Kd=60uM,Kd
4gny,4.22,Kd=60uM,Kd
4mo4,4.22,Kd=0.06mM,Kd
4oak,4.22,Ki=59.7uM,Ki
2jke,4.23,Ki=59uM,Ki
2jkp,4.23,Ki=59uM,Ki
3zqe,4.23,Kd=59.0uM,Kd
4qfp,4.23,Kd=58.6uM,Kd
2bes,4.24,Ki=57uM,Ki
3h78,4.24,Kd=57uM,Kd
5e13,4.24,Ki=57.8uM,Ki
1li3,4.25,Kd=56uM,Kd
2qrk,4.26,Ki=55uM,Ki
3qwc,4.26,Ki=55.4uM,Ki
4r0a,4.26,Kd=55uM,Kd
4u69,4.26,Ki=54.8uM,Ki
1m5w,4.27,Kd=54uM,Kd
4qfo,4.27,Kd=53.4uM,Kd
2vzr,4.28,Kd=52.6uM,Kd
3f5j,4.28,Ki=0.052mM,Ki
3gta,4.28,Ki=53uM,Ki
3jrs,4.28,Kd=52uM,Kd
4ufj,4.28,Ki=52uM,Ki
1e2l,4.29,Ki=51.5uM,Ki
1v2l,4.29,Ki=51uM,Ki
2wuf,4.29,Kd=51uM,Kd
4i3z,4.29,Kd=51.3uM,Kd
1amk,4.3,Ki=50uM,Ki
1det,4.3,Kd=50uM,Kd
1w3k,4.3,Ki=50uM,Ki
2cli,4.3,Kd=50uM,Kd
2q7y,4.3,Kd=50uM,Kd
3moe,4.3,Ki=50uM,Ki
3obu,4.3,Kd=50uM,Kd
3t0b,4.3,Ki=0.05mM,Ki
3upk,4.3,Kd=50uM,Kd
4eoh,4.3,Ki=50uM,Ki
4ibk,4.3,Kd=50.4uM,Kd
4jc1,4.3,Kd=50uM,Kd
4k7o,4.3,Kd=50uM,Kd
4o61,4.3,Kd=50uM,Kd
4zme,4.3,Kd=50uM,Kd
1ajq,4.31,Ki=0.049mM,Ki
2tpi,4.31,Kd=49uM,Kd
4kow,4.31,Kd=49.3uM,Kd
2ha6,4.32,Kd=48uM,Kd
2qtt,4.32,Ki=48uM,Ki
4q7p,4.32,Ki=48uM,Ki
